Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team
Jamaal Lascelles,eng ENG,DF,29,0,13,1080,1,0,0,4,0,0,0,Newcastle-United-
Valentino Livramento,eng ENG,DF,20,0,12,1314,1,0,0,1,0,0,0,Newcastle-United-
Elliot Anderson,sct SCO,"MF,FW",20,0,10,1027,0,2,0,3,0,1,1,Newcastle-United-
Callum Wilson,eng ENG,FW,31,0,9,991,9,1,2,3,0,8,7,Newcastle-United-
Emil Krafth,se SWE,DF,28,0,8,913,0,0,0,2,0,0,0,Newcastle-United-
Lewis Hall,eng ENG,DF,18,0,8,781,1,0,0,2,0,0,0,Newcastle-United-
Harvey Barnes,eng ENG,"FW,MF",25,0,7,802,5,3,0,2,0,3,3,Newcastle-United-
Sandro Tonali,it ITA,MF,23,0,5,438,1,0,0,2,0,0,0,Newcastle-United-
Joe Willock,eng ENG,MF,23,0,5,419,1,0,0,0,0,0,0,Newcastle-United-
Loris Karius,de GER,GK,30,0,1,90,0,0,0,0,0,0,0,Newcastle-United-
Matt Targett,eng ENG,DF,27,0,1,78,0,0,0,1,0,0,0,Newcastle-United-
Matt Ritchie,sct SCO,"FW,MF",33,0,0,128,1,0,0,1,0,1,1,Newcastle-United-
Ben Parkinson,eng ENG,FW,18,0,0,25,0,0,0,0,0,0,0,Newcastle-United-
Paul Dummett,wls WAL,DF,31,0,0,20,0,0,0,0,0,0,0,Newcastle-United-
Alex Murphy,ie IRL,"DF,FW",19,0,0,13,0,0,0,0,0,0,0,Newcastle-United-
Joe White,eng ENG,MF,20,0,0,13,0,0,0,1,0,0,0,Newcastle-United-
Amadou Diallo,eng ENG,MF,20,0,0,1,0,0,0,0,0,0,0,Newcastle-United-
Michael Ndiweni,eng ENG,FW,19,0,0,1,0,0,0,0,0,0,0,Newcastle-United-
Mark Gillespie,eng ENG,GK,31,0,0,0,0,0,0,0,0,0,0,Newcastle-United-
Travis Hearnes,eng ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Newcastle-United-
Javier Manquillo,es ESP,DF,29,0,0,0,0,0,0,0,0,0,0,Newcastle-United-
Squad Total,NULL,NULL,27,0,418,3420,83,55,8,79,1,76,69,Newcastle-United-
Opponent Total,NULL,NULL,26,0,418,3420,61,47,4,97,3,61,57,Newcastle-United-
André Onana,cm CMR,GK,27,38,38,3420,0,0,0,5,0,0,0,Manchester-United-
Diogo Dalot,pt POR,DF,24,36,35,3174,2,3,0,6,1,1,1,Manchester-United-
Bruno Fernandes,pt POR,"MF,FW",28,35,35,3118,10,8,4,9,0,10,6,Manchester-United-
Alejandro Garnacho,ar ARG,FW,19,36,30,2565,7,4,0,4,0,8,8,Manchester-United-
Marcus Rashford,eng ENG,FW,25,33,26,2271,7,2,2,2,0,7,5,Manchester-United-
Rasmus Højlund,dk DEN,FW,20,30,25,2158,10,2,0,2,0,7,7,Manchester-United-
Casemiro,br BRA,"MF,DF",31,25,24,1982,1,2,0,7,0,3,3,Manchester-United-
Kobbie Mainoo,eng ENG,MF,18,24,24,1924,3,1,0,3,0,0,0,Manchester-United-
