Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Bobby Reid,jm JAM,FW,30,33,17,1423,15.8,6,2,0,4,0,4.6,4.6
Harry Wilson,wls WAL,FW,26,35,16,1620,18.0,4,6,0,6,0,3.4,3.4
Issa Diop,fr FRA,DF,26,18,16,1424,15.8,0,0,0,4,1,0.3,0.3
Harrison Reed,eng ENG,MF,28,27,15,1325,14.7,0,2,0,6,0,0.3,0.3
Tom Cairney,sct SCO,MF,32,34,14,1488,16.5,1,4,0,3,0,1.1,1.1
SaÅ¡a LukiÄ‡,rs SRB,MF,26,24,13,1122,12.5,1,0,0,3,0,1.6,1.6
Kenny Tete,nl NED,DF,27,14,10,867,9.6,1,0,0,2,0,0.9,0.9
Carlos VinÃ­cius,br BRA,FW,28,13,2,315,3.5,2,0,0,2,0,1.6,1.6
Adama TraorÃ©,es ESP,"FW,MF",27,17,1,377,4.2,2,3,0,2,0,1.5,1.5
Armando Broja,al ALB,FW,21,8,0,88,1.0,0,1,0,0,0,0.0,0.0
Luke Harris,wls WAL,MF,18,1,0,75,0.8,0,0,0,0,0,0.3,0.3
FodÃ© Ballo-TourÃ©,sn SEN,"DF,MF",26,6,0,71,0.8,0,0,0,1,0,0.0,0.0
Aleksandar MitroviÄ‡,rs SRB,FW,28,1,0,33,0.4,0,0,0,0,0,0.2,0.2
Marek RodÃ¡k,sk SVK,GK,26,0,0,0,0.0,0,0,0,1,0,,
Luc De Fougerolles,ca CAN,DF,17,0,0,0,,0,0,0,0,0,,
Matt Dibley-Dias,nz NZL,MF,19,0,0,0,,0,0,0,0,0,,
Tyrese Francois,au AUS,MF,23,0,0,0,,0,0,0,0,0,,
Joshua King,eng ENG,MF,16,0,0,0,,0,0,0,0,0,,
Kevin Mbabu,ch SUI,DF,28,0,0,0,,0,0,0,0,0,,
Kristian Sekularac,ch SUI,MF,19,0,0,0,,0,0,0,0,0,,
