Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Jay Stansfield,eng ENG,"FW,MF",20,0,0,0,,0,0,0,0,0,,
Devan Tanton,co COL,DF,19,0,0,0,,0,0,0,0,0,,
Squad Total,,,28,38,418,3420,38.0,54,40,2,84,4,50.8,49.2
Opponent Total,,,26,38,418,3420,38.0,57,36,8,65,0,62.9,56.9
Max Kilman,eng ENG,DF,26,38,38,3420,38.0,2,0,0,7,0,1.8,1.8
NÃ©lson Semedo,pt POR,"DF,MF",29,36,36,3084,34.3,0,1,0,10,1,1.3,1.3
JosÃ© SÃ¡,pt POR,GK,30,35,35,3037,33.7,0,1,0,1,0,0.0,0.0
Mario Lemina,ga GAB,MF,29,35,34,2968,33.0,4,1,0,12,1,4.6,4.6
JoÃ£o Gomes,br BRA,MF,22,34,32,2649,29.4,2,1,0,11,0,1.7,1.7
Toti Gomes,pt POR,DF,24,35,31,2772,30.8,1,3,0,7,0,1.6,1.6
Matheus Cunha,br BRA,"FW,MF",24,32,29,2440,27.1,12,7,1,9,0,9.5,8.7
Rayan AÃ¯t-Nouri,dz ALG,"DF,MF",22,33,29,2329,25.9,2,1,0,7,0,3.3,3.3
Craig Dawson,eng ENG,DF,33,25,25,2209,24.5,1,1,0,7,0,1.5,1.5
Hwang Hee-chan,kr KOR,"FW,MF",27,29,25,2119,23.5,12,3,1,6,0,7.7,6.9
Pablo Sarabia,es ESP,"MF,FW",31,30,20,1745,19.4,4,7,2,5,0,5.5,3.9
Pedro Neto,pt POR,"FW,MF",23,20,18,1516,16.8,2,9,0,4,0,3.5,3.5
Tommy Doyle,eng ENG,MF,21,26,11,1222,13.6,0,0,0,2,0,0.4,0.4
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25,22,10,958,10.6,2,1,0,0,1,1.6,1.6
Matt Doherty,ie IRL,"DF,MF",31,30,9,1150,12.8,1,0,0,2,0,0.8,0.8
Santiago Bueno,uy URU,DF,24,12,9,822,9.1,0,0,0,1,0,0.0,0.0
Boubacar TraorÃ©,ml MLI,MF,21,24,7,819,9.1,0,0,0,4,0,0.3,0.3
Hugo Bueno,es ESP,"DF,MF",20,22,7,741,8.2,0,0,0,1,0,0.3,0.3
Daniel Bentley,eng ENG,GK,30,5,3,383,4.3,0,0,0,0,0,0.0,0.0
FÃ¡bio Silva,pt POR,FW,21,8,3,264,2.9,0,0,0,2,0,1.0,1.0
Matheus Nunes,pt POR,MF,24,2,2,179,2.0,0,0,0,2,1,0.1,0.1
Leon Chiwome,eng ENG,FW,17,3,2,174,1.9,0,0,0,0,0,0.1,0.1
Nathan Fraser,ie IRL,FW,18,7,1,186,2.1,0,0,0,1,0,0.3,0.3
Sasa Kalajdzic,at AUT,FW,26,11,1,166,1.8,2,0,0,0,0,1.1,1.1
Tawanda Chirewa,zw ZIM,"MF,FW",19,8,1,145,1.6,0,0,0,1,0,0.2,0.2
Jonny Castro,es ESP,MF,29,1,0,5,0.1,0,0,0,0,0,0.0,0.0
Enso Gonzalez,py PAR,"MF,DF",18,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Ty Barnett,eng ENG,FW,18,0,0,0,,0,0,0,0,0,,
Harvey Griffiths,eng ENG,MF,19,0,0,0,,0,0,0,0,0,,
Owen Hesketh,wls WAL,MF,20,0,0,0,,0,0,0,0,0,,
Joseph Hodge,ie IRL,MF,20,0,0,0,,0,0,0,0,0,,
Fletcher Holman,eng ENG,FW,18,0,0,0,,0,0,0,0,0,,
Justin Hubner,id IDN,DF,19,0,0,0,,0,0,0,0,0,,
Tom King,wls WAL,GK,28,0,0,0,,0,0,0,0,0,,
Noha Lemina,fr FRA,FW,18,0,0,0,,0,0,0,0,0,,
Yerson Mosquera,co COL,DF,22,0,0,0,,0,0,0,0,0,,
Temple Ojinnaka,it ITA,MF,18,0,0,0,,0,0,0,0,0,,
Wesley Okoduwa,eng ENG,FW,15,0,0,0,,0,0,0,0,0,,
Matthew Whittingham,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,38,418,3420,38.0,47,36,4,102,4,46.7,43.6
Opponent Total,,,26,38,418,3420,38.0,64,43,8,84,3,67.7,61.4
Jordan Pickford,eng ENG,GK,29,38,38,3420,38.0,0,0,0,5,0,0.0,0.0
James Tarkowski,eng ENG,DF,30,38,38,3419,38.0,1,1,0,11,0,2.6,2.6
Jarrad Branthwaite,eng ENG,DF,21,35,35,3116,34.6,3,0,0,8,0,1.7,1.7
James Garner,eng ENG,MF,22,37,34,3004,33.4,1,2,0,7,0,2.7,2.7
Dwight McNeil,eng ENG,"MF,FW",23,35,33,2892,32.1,3,6,0,2,0,3.4,3.4
Abdoulaye DoucourÃ©,ml MLI,"FW,MF",30,32,32,2629,29.2,7,1,0,7,0,8.8,8.8
Vitaliy Mykolenko,ua UKR,DF,24,28,28,2469,27.4,2,0,0,1,0,1.5,1.5
Ashley Young,eng ENG,"DF,MF",38,31,27,2280,25.3,0,0,0,7,1,0.6,0.6
Dominic Calvert-Lewin,eng ENG,FW,26,32,26,2171,24.1,7,2,2,2,0,12.9,11.4
Jack Harrison,eng ENG,"MF,FW",26,29,25,2214,24.6,3,3,0,1,0,3.6,3.6
Idrissa Gana Gueye,sn SEN,MF,33,25,24,1884,20.9,4,0,0,8,0,1.3,1.3
Amadou Onana,be BEL,MF,21,30,23,2091,23.2,2,0,0,5,0,2.0,2.0
Ben Godfrey,eng ENG,DF,25,15,13,1120,12.4,0,0,0,2,0,1.7,1.7
Nathan Patterson,sct SCO,DF,21,20,9,1005,11.2,0,2,0,4,0,0.3,0.3
Beto,gw GNB,FW,25,30,9,951,10.6,3,0,0,2,0,6.8,6.0
SÃ©amus Coleman,ie IRL,DF,34,12,7,665,7.4,0,0,0,0,0,0.0,0.0
Arnaut Danjuma,nl NED,"MF,FW",26,14,5,595,6.6,1,0,0,0,0,2.6,2.6
Michael Keane,eng ENG,DF,30,9,4,439,4.9,1,0,0,2,0,0.7,0.7
AndrÃ© Gomes,pt POR,"MF,FW",30,12,3,508,5.6,1,0,0,4,0,0.3,0.3
Alex Iwobi,ng NGA,MF,27,2,2,140,1.6,0,0,0,0,0,0.3,0.3
Lewis Dobbin,eng ENG,MF,20,12,1,232,2.6,1,0,0,1,0,0.3,0.3
Youssef Chermiti,pt POR,FW,19,18,1,208,2.3,0,0,0,3,0,0.7,0.7
Neal Maupay,fr FRA,FW,26,2,1,111,1.2,0,0,0,0,0,1.4,1.4
Thomas Cannon,ie IRL,FW,20,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Tyler Onyango,eng ENG,MF,20,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Lewis Warrington,eng ENG,FW,20,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Elijah Campbell,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
William Crellin,eng ENG,GK,23,0,0,0,,0,0,0,0,0,,
Mackenzie Hunt,eng ENG,DF,21,0,0,0,,0,0,0,0,0,,
Andy Lonergan,ie IRL,GK,39,0,0,0,,0,0,0,0,0,,
Jenson Metcalfe,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
JoÃ£o VirgÃ­nia,pt POR,GK,23,0,0,0,,0,0,0,0,0,,
Squad Total,,,27,38,418,3420,38.0,40,17,2,82,1,54.0,51.6
Opponent Total,,,26,38,418,3420,38.0,48,30,8,61,2,55.2,49.1
Mark Flekken,nl NED,GK,30,0,37,3285,36.5,0,1,0,3,0,0.0,0.0
Vitaly Janelt,de GER,"MF,DF",25,0,37,3054,33.9,1,3,0,8,0,1.8,1.8
Christian NÃ¸rgaard,dk DEN,MF,29,0,30,2505,27.8,2,1,0,8,0,3.5,3.5
Nathan Collins,ie IRL,DF,22,0,29,2652,29.5,1,1,0,3,0,1.7,1.7
Yoane Wissa,cd COD,FW,26,0,29,2493,27.7,12,3,0,7,0,10.6,10.6
Ethan Pinnock,jm JAM,DF,30,0,28,2521,28.0,2,0,0,1,0,2.0,2.0
Mathias Jensen,dk DEN,MF,27,0,27,2204,24.5,3,3,0,5,0,0.7,0.7
Mads Roerslev,dk DEN,DF,24,0,22,1985,22.1,1,2,0,1,0,0.9,0.9
Bryan Mbeumo,cm CMR,FW,23,0,22,1960,21.8,9,6,3,2,0,9.8,7.4
Kristoffer Ajer,no NOR,DF,25,0,21,1832,20.4,2,1,0,5,0,1.3,1.3
Ivan Toney,eng ENG,FW,27,0,16,1450,16.1,4,2,0,5,0,6.0,6.0
Keane Lewis-Potter,eng ENG,"FW,DF",22,0,15,1441,16.0,3,1,0,0,0,6.3,6.3
Ben Mee,eng ENG,DF,33,0,15,1272,14.1,2,0,0,1,1,1.5,1.5
Sergio ReguilÃ³n,es ESP,DF,26,0,14,1118,12.4,0,4,0,4,1,0.8,0.8
Neal Maupay,fr FRA,FW,26,0,13,1321,14.7,6,3,0,8,0,5.7,5.7
Mathias JÃ¸rgensen,dk DEN,DF,33,0,12,1087,12.1,1,0,0,4,0,0.7,0.7
Frank Onyeka,ng NGA,MF,25,0,11,1161,12.9,1,2,0,8,0,2.2,2.2
Aaron Hickey,sct SCO,DF,21,0,9,713,7.9,0,0,0,5,0,0.2,0.2
Mikkel Damsgaard,dk DEN,MF,23,0,7,842,9.4,0,2,0,2,0,0.9,0.9
Saman Ghoddos,ir IRN,DF,29,0,7,739,8.2,1,0,0,5,0,0.3,0.3
Yehor Yarmoliuk,ua UKR,MF,19,0,6,688,7.6,0,0,0,2,0,1.0,1.0
Rico Henry,eng ENG,DF,26,0,5,401,4.5,0,1,0,1,0,0.1,0.1
Kevin Schade,de GER,"FW,MF",21,0,3,333,3.7,2,1,0,0,0,1.2,1.2
Shandon Baptiste,gd GRN,MF,25,0,2,229,2.5,1,1,0,1,0,0.9,0.9
Thomas Strakosha,al ALB,GK,28,0,1,135,1.5,0,0,0,0,0,0.0,0.0
Michael Olakigbe,eng ENG,"DF,FW",19,0,0,59,0.7,0,0,0,0,0,0.1,0.1
Josh Dasilva,eng ENG,"DF,FW",24,0,0,24,0.3,0,0,0,0,0,0.0,0.0
Myles Peart-Harris,eng ENG,"DF,MF",20,0,0,13,0.1,0,0,0,0,0,0.0,0.0
Val Adedokun,ie IRL,FW,20,0,0,0,,0,0,0,0,0,,
Vincent Angelini,sct SCO,GK,19,0,0,0,,0,0,0,0,0,,
Benjamin Arthur,eng ENG,DF,17,0,0,0,,0,0,0,0,0,,
Ellery Balcombe,eng ENG,GK,23,0,0,0,,0,0,0,0,0,,
Ethan Brierley,eng ENG,MF,19,0,0,0,,0,0,0,0,0,,
Yunus Emre Konak,tr TUR,MF,17,0,0,0,,0,0,0,0,0,,
Benjamin Fredrick,ng NGA,DF,18,0,0,0,,0,0,0,0,0,,
Charlie Goode,eng ENG,DF,27,0,0,0,,0,0,0,0,0,,
Kim Jisoo,kr KOR,DF,18,0,0,0,,0,0,0,0,0,,
HÃ¡kon Rafn Valdimarsson,is ISL,GK,21,0,0,0,,0,0,0,0,0,,
Ryan Trevitt,eng ENG,MF,20,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,0,418,3420,38.0,54,38,3,89,2,58.2,56.0
Opponent Total,,,26,0,418,3420,38.0,65,50,2,75,4,56.0,54.4
Morgan Gibbs-White,eng ENG,"MF,FW",23,0,35,3156,35.1,5,10,1,9,0,6.9,6.1
Murillo,br BRA,DF,21,0,32,2789,31.0,0,2,0,5,0,1.8,1.8
Anthony Elanga,se SWE,"FW,MF",21,0,25,2433,27.0,5,9,0,1,0,6.6,6.6
Ryan Yates,eng ENG,MF,25,0,21,1992,22.1,1,1,0,6,0,2.6,2.6
Callum Hudson-Odoi,eng ENG,"FW,MF",22,0,20,1854,20.6,8,1,0,0,0,2.7,2.7
Chris Wood,nz NZL,FW,31,0,20,1812,20.1,14,1,0,0,0,11.9,11.9
Danilo,br BRA,MF,22,0,20,1792,19.9,2,2,0,4,0,1.8,1.8
Ola Aina,ng NGA,DF,26,0,20,1692,18.8,1,1,0,3,0,0.3,0.3
Orel Mangala,be BEL,MF,25,0,19,1563,17.4,1,0,0,6,0,0.8,0.8
NicolÃ¡s DomÃ­nguez,ar ARG,"MF,FW",25,0,19,1495,16.6,2,2,0,4,0,1.3,1.3
Neco Williams,wls WAL,DF,22,0,18,1637,18.2,0,1,0,4,0,0.8,0.8
Willy Boly,ci CIV,DF,32,0,18,1438,16.0,2,1,0,3,1,1.5,1.5
Matt Turner,us USA,GK,29,0,17,1530,17.0,0,0,0,2,0,0.0,0.0
Matz Sels,be BEL,GK,31,0,16,1440,16.0,0,0,0,1,0,0.0,0.0
Moussa Niakhate,sn SEN,DF,27,0,15,1460,16.2,1,0,0,5,1,1.1,1.1
Harry Toffolo,eng ENG,DF,27,0,15,1459,16.2,1,3,0,3,0,1.6,1.6
Ibrahim SangarÃ©,ci CIV,MF,25,0,13,1035,11.5,0,0,0,6,0,0.6,0.6
Taiwo Awoniyi,ng NGA,FW,25,0,12,1042,11.6,6,3,0,2,0,4.7,4.7
Serge Aurier,ci CIV,"DF,MF",30,0,10,833,9.3,0,2,0,2,0,0.2,0.2
Gonzalo Montiel,ar ARG,DF,26,0,8,801,8.9,0,2,0,5,0,0.1,0.1
Andrew Omobamidele,ie IRL,DF,21,0,8,783,8.7,0,0,0,2,0,0.1,0.1
Divock Origi,be BEL,FW,28,0,6,606,6.7,0,1,0,1,0,1.4,1.4
Nuno Tavares,pt POR,DF,23,0,5,457,5.1,0,0,0,2,0,0.2,0.2
Odisseas Vlachodimos,gr GRE,GK,29,0,5,450,5.0,0,0,0,0,0,0.0,0.0
Joe Worrall,eng ENG,DF,26,0,5,439,4.9,0,0,0,0,1,0.1,0.1
Scott McKenna,sct SCO,DF,26,0,5,416,4.6,0,0,0,0,0,0.2,0.2
Felipe,br BRA,DF,34,0,4,375,4.2,0,0,0,4,0,0.1,0.1
Brennan Johnson,wls WAL,"FW,MF",22,0,3,237,2.6,0,0,0,0,0,0.3,0.3
Gio Reyna,us USA,"FW,MF",20,0,2,235,2.6,0,1,0,0,0,0.3,0.3
Cheikhou KouyatÃ©,sn SEN,MF,33,0,2,212,2.4,0,0,0,2,0,0.3,0.3
Rodrigo Ribeiro,pt POR,"MF,FW",18,0,0,17,0.2,0,0,0,0,0,0.0,0.0
Andrey Santos,br BRA,MF,19,0,0,8,0.1,0,0,0,0,0,0.1,0.1
Brandon Aguilera,cr CRC,FW,20,0,0,5,0.1,0,0,0,0,0,0.0,0.0
Remo Freuler,ch SUI,MF,31,0,0,0,,0,0,0,0,0,,
Joe Gardner,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
Wayne Hennessey,wls WAL,GK,36,0,0,0,,0,0,0,0,0,,
Ethan Horvath,us USA,GK,28,0,0,0,,0,0,0,0,0,,
Jamie McDonnell,nir NIR,MF,19,0,0,0,,0,0,0,0,0,,
Lewis O'Brien,eng ENG,MF,24,0,0,0,,0,0,0,0,0,,
Detlef Osong,eng ENG,FW,18,0,0,0,,0,0,0,0,0,,
Hwang Ui-jo,kr KOR,"FW,MF",30,0,0,0,,0,0,0,0,0,,
Squad Total,,,25,0,418,3420,38.0,49,43,1,82,3,49.9,49.1
Opponent Total,,,26,0,418,3420,38.0,65,48,4,81,7,53.2,50.1
Thomas Kaminski,be BEL,GK,30,38,38,3405,37.8,0,0,0,3,0,0.0,0.0
Alfie Doughty,eng ENG,DF,23,37,34,2925,32.5,2,8,0,5,0,1.3,1.3
Carlton Morris,eng ENG,"FW,MF",27,38,32,2862,31.8,11,4,5,4,0,11.4,7.5
Ross Barkley,eng ENG,MF,29,32,30,2618,29.1,5,4,0,6,0,4.1,4.1
Teden Mengi,eng ENG,DF,21,30,28,2469,27.4,1,0,0,3,0,0.6,0.6
Gabriel Osho,ng NGA,DF,24,21,21,1846,20.5,2,0,0,3,0,1.1,1.1
Issa KaborÃ©,bf BFA,DF,22,24,21,1729,19.2,0,2,0,7,0,0.2,0.2
Amari'i Bell,jm JAM,DF,29,21,21,1720,19.1,0,0,0,0,0,0.3,0.3
Chiedozie Ogbene,ie IRL,"MF,DF",26,30,20,1995,22.2,4,1,0,1,0,4.2,4.2
Tahith Chong,nl NED,"MF,FW",23,33,20,1982,22.0,4,0,0,4,0,2.7,2.7
Reece Burke,eng ENG,DF,26,22,20,1660,18.4,0,4,0,5,0,1.3,1.3
Elijah Adebayo,eng ENG,FW,25,27,16,1419,15.8,10,0,0,1,0,5.9,5.9
Albert Sambi Lokonga,be BEL,MF,23,17,16,1303,14.5,1,3,0,4,0,0.6,0.6
Jordan Clark,eng ENG,MF,29,23,14,1304,14.5,1,1,0,4,0,1.0,1.0
Andros Townsend,eng ENG,"MF,FW",32,27,14,1210,13.4,1,3,0,1,0,1.2,1.2
Tom Lockyer,wls WAL,DF,28,14,14,1169,13.0,1,1,0,4,0,1.1,1.1
Marvelous Nakamba,zw ZIM,MF,29,13,13,1130,12.6,0,0,0,5,0,0.2,0.2
Jacob Brown,sct SCO,"MF,FW",25,19,12,1019,11.3,2,0,0,4,0,2.8,2.8
Pelly Ruddock Mpanzu,cd COD,MF,30,27,11,1101,12.2,0,0,0,1,0,0.6,0.6
Daiki Hashioka,jp JPN,DF,24,10,6,595,6.6,0,0,0,0,0,0.1,0.1
Ryan John Giles,eng ENG,"DF,MF",23,11,5,503,5.6,0,0,0,0,0,0.1,0.1
Fred Onyedinma,eng ENG,"DF,MF",26,8,4,407,4.5,0,0,0,1,0,0.2,0.2
Mads Juel Andersen,dk DEN,DF,25,8,4,400,4.4,1,0,0,1,0,0.3,0.3
Cauley Woodrow,eng ENG,"FW,MF",28,24,2,427,4.7,1,1,0,2,0,1.4,1.4
Luke Berry,eng ENG,"MF,DF",31,17,2,323,3.6,2,1,0,1,0,1.0,1.0
Joseph Johnson,eng ENG,DF,17,2,0,77,0.9,0,0,0,1,0,0.0,0.0
James Shea,eng ENG,GK,32,1,0,15,0.2,0,0,0,0,0,0.0,0.0
Zack Nelson,eng ENG,"MF,DF",18,2,0,7,0.1,0,0,0,0,0,0.0,0.0
Allan Campbell,sct SCO,MF,25,0,0,0,,0,0,0,0,0,,
Christian Chigozie,eng ENG,DF,16,0,0,0,,0,0,0,0,0,,
Aidan Francis,eng ENG,MF,20,0,0,0,,0,0,0,0,0,,
Taylan Harris,eng ENG,FW,17,0,0,0,,0,0,0,0,0,,
Tim Krul,nl NED,GK,35,0,0,0,,0,0,0,0,0,,
Jayden Luker,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Dominic Martins,pt POR,MF,17,0,0,0,,0,0,0,0,0,,
John Mcatee,eng ENG,"FW,MF",24,0,0,0,,0,0,0,0,0,,
Axel Piesold,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Dan Potts,eng ENG,DF,29,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,38,418,3420,38.0,49,33,5,71,0,42.4,38.6
Opponent Total,,,26,38,418,3420,38.0,81,57,4,73,2,78.0,74.9
Sander Berge,no NOR,MF,25,37,34,3005,33.4,1,2,0,10,1,1.9,1.9
Dara O'Shea,ie IRL,DF,24,33,32,2892,32.1,3,4,0,5,1,0.7,0.7
James Trafford,eng ENG,GK,20,28,28,2520,28.0,0,0,0,2,0,0.0,0.0
Zeki Amdouni,ch SUI,FW,22,34,27,1953,21.7,5,1,1,2,0,5.8,5.0
Vitinho,br BRA,"DF,MF",24,32,26,2314,25.7,0,2,0,1,0,1.6,1.6
Charlie Taylor,eng ENG,DF,29,28,25,2331,25.9,1,1,0,8,0,0.2,0.2
Wilson Odobert,fr FRA,"MF,FW",18,29,25,2098,23.3,3,2,0,3,0,2.8,2.8
Josh Brownhill,eng ENG,MF,27,33,23,2252,25.0,4,2,0,4,1,1.9,1.9
Josh Cullen,ie IRL,MF,27,25,23,2057,22.9,2,3,0,9,0,0.6,0.6
Lyle Foster,za RSA,"FW,MF",22,24,22,1899,21.1,5,3,0,0,1,4.5,4.5
Jacob Bruun Larsen,dk DEN,"MF,FW",24,32,16,1249,13.9,6,0,1,1,0,5.0,4.2
Maxime EstÃ¨ve,fr FRA,DF,21,16,15,1309,14.5,0,0,0,6,0,0.3,0.3
Lorenz Assignon,tg TOG,DF,23,15,15,1234,13.7,1,2,0,5,1,0.4,0.4
Jordan Beyer,de GER,DF,23,15,15,1234,13.7,0,1,0,6,0,0.5,0.5
Luca Koleosho,it ITA,"MF,FW",18,15,13,974,10.8,1,1,0,0,0,2.0,2.0
JÃ³hann Berg GuÃ°mundsson,is ISL,"MF,FW",32,26,12,1192,13.2,1,3,0,2,0,1.9,1.9
Ameen Al-Dakhil,be BEL,DF,21,13,12,1056,11.7,1,0,0,1,0,1.3,1.3
Arijanet Muric,xk KVX,GK,24,10,10,900,10.0,0,0,0,0,0,0.0,0.0
David Datro Fofana,ci CIV,FW,20,15,10,879,9.8,4,1,0,1,0,4.5,4.5
Connor Roberts,wls WAL,DF,27,14,8,823,9.1,0,1,0,5,1,0.0,0.0
Jay Rodriguez,eng ENG,FW,34,21,7,822,9.1,2,1,1,0,0,3.5,2.7
Hannes Delcroix,be BEL,DF,24,12,5,589,6.5,0,0,0,2,0,0.4,0.4
Aaron Ramsey,eng ENG,"MF,FW",20,14,5,527,5.9,0,0,0,1,0,0.3,0.3
Hjalmar Ekdal,se SWE,DF,24,8,5,437,4.9,0,0,0,2,0,0.1,0.1
Mike TrÃ©sor,be BEL,"FW,MF",24,16,3,420,4.7,0,0,0,0,0,0.5,0.5
Anass Zaroury,ma MAR,"FW,MF",22,6,1,152,1.7,0,0,0,0,1,0.2,0.2
Benson Manuel,ao ANG,"MF,FW",26,8,1,116,1.3,0,0,0,0,0,0.1,0.1
Nathan Redmond,eng ENG,"FW,MF",29,12,0,142,1.6,0,0,0,1,0,0.0,0.0
Jack Cork,eng ENG,MF,34,4,0,27,0.3,0,0,0,0,0,0.0,0.0
Michael Obafemi,ie IRL,"FW,MF",23,2,0,20,0.2,0,0,0,0,0,0.1,0.1
Han-Noah Massengo,fr FRA,"MF,DF",22,3,0,16,0.2,0,0,0,0,0,0.0,0.0
CJ Egan-Riley,eng ENG,DF,20,0,0,0,,0,0,0,0,0,,
Lawrence Vigouroux,cl CHI,GK,29,0,0,0,,0,0,0,0,0,,
Squad Total,,,24,38,418,3420,38.0,40,30,3,77,7,40.6,38.3
Opponent Total,,,26,38,418,3420,38.0,75,54,6,84,3,70.4,64.9
Gustavo Hamer,nl NED,MF,26,36,34,2910,32.3,4,6,0,9,0,3.0,3.0
Jayden Bogle,eng ENG,DF,23,34,32,2788,31.0,3,0,0,9,0,2.3,2.3
Jack Robinson,eng ENG,DF,29,34,31,2885,32.1,1,1,0,10,0,1.2,1.2
Vinicius Souza,br BRA,MF,24,36,29,2668,29.6,1,0,0,3,0,0.6,0.6
Anel AhmedhodÅ¾iÄ‡,ba BIH,DF,24,31,29,2649,29.4,2,0,0,11,1,3.1,3.1
Wes Foderingham,eng ENG,GK,32,30,29,2649,29.4,0,0,0,2,0,0.0,0.0
Auston Trusty,us USA,DF,24,32,28,2572,28.6,0,0,0,4,0,0.4,0.4
Cameron Archer,eng ENG,"FW,MF",22,29,21,1832,20.4,4,1,0,1,0,5.5,5.5
James Mcatee,eng ENG,"MF,FW",20,30,20,1822,20.2,3,3,1,2,0,3.1,2.3
Oliver Norwood,nir NIR,MF,32,27,16,1440,16.0,1,0,1,8,0,1.1,0.3
Oliver McBurnie,sct SCO,FW,27,21,15,1280,14.2,6,3,2,7,2,6.9,5.3
Ben Osborn,eng ENG,"DF,MF",28,24,14,1367,15.2,0,2,0,3,0,0.2,0.2
Ben Brereton,cl CHI,"FW,MF",24,14,14,1105,12.3,6,1,1,3,0,6.1,5.3
Andre Brooks,eng ENG,"MF,DF",19,20,12,938,10.4,0,0,0,1,0,0.4,0.4
George Baldock,gr GRE,DF,30,13,11,969,10.8,0,1,0,4,0,0.0,0.0
Oliver Arblaster,eng ENG,MF,19,12,11,943,10.5,0,0,0,2,0,0.0,0.0
Luke Thomas,eng ENG,DF,22,12,11,917,10.2,0,0,0,3,0,0.5,0.5
William Osula,dk DEN,FW,19,21,9,786,8.7,0,0,0,4,0,1.6,1.6
Ivo GrbiÄ‡,hr CRO,GK,27,9,9,771,8.6,0,0,0,1,0,0.0,0.0
Mason Holgate,eng ENG,DF,26,10,9,710,7.9,0,0,0,3,1,0.6,0.6
Yasser Larouci,dz ALG,DF,22,11,6,531,5.9,0,0,0,1,0,0.2,0.2
John Egan,ie IRL,DF,30,6,6,482,5.4,0,0,0,2,0,0.2,0.2
Max Lowe,eng ENG,"DF,MF",26,10,4,503,5.6,0,0,0,1,0,0.6,0.6
Anis Ben Slimane,tn TUN,MF,22,15,4,419,4.7,0,0,0,2,0,0.8,0.8
BÃ©nie Adama Traore,ci CIV,"FW,MF",20,8,3,387,4.3,0,0,0,0,0,0.3,0.3
Rhian Brewster,eng ENG,"FW,MF",23,13,3,346,3.8,0,0,0,0,1,0.4,0.4
Chris Basham,eng ENG,"DF,MF",35,8,3,321,3.6,0,0,0,1,0,0.1,0.1
Tom Davies,eng ENG,MF,25,9,2,221,2.5,0,0,0,2,0,0.4,0.4
Rhys Norrington-Davies,wls WAL,DF,24,5,2,110,1.2,0,0,0,1,0,0.0,0.0
John Fleck,sct SCO,"MF,DF",31,4,1,92,1.0,0,0,0,1,0,0.0,0.0
Sam Curtis,ie IRL,DF,17,1,0,28,0.3,0,0,0,0,0,0.0,0.0
Daniel Jebbison,eng ENG,FW,19,1,0,21,0.2,0,0,0,0,0,0.0,0.0
Antwoine Hackford,eng ENG,FW,19,2,0,13,0.1,0,0,0,0,0,0.0,0.0
Sydie Peck,eng ENG,MF,18,1,0,10,0.1,0,0,0,0,0,0.0,0.0
Ryan One,sct SCO,FW,17,1,0,8,0.1,0,0,0,0,0,0.0,0.0
Jordan Amissah,gh GHA,GK,21,0,0,0,,0,0,0,0,0,,
Billy Blacker,eng ENG,FW,17,0,0,0,,0,0,0,0,0,,
Jili Buyabu,eng ENG,MF,21,0,0,0,,0,0,0,0,0,,
Ismaila Cheick Coulibaly,ml MLI,MF,22,0,0,0,,0,0,0,0,0,,
Adam Davies,wls WAL,GK,31,0,0,0,,0,0,0,0,0,,
Owen Hampson,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Louie Marsh,eng ENG,FW,19,0,0,0,,0,0,0,0,0,,
Dovydas Sasnauskas,,DF,0,0,0,0,,0,0,0,0,0,,
Femi Seriki,eng ENG,DF,21,0,0,0,,0,0,0,0,0,,
Squad Total,,,25,38,418,3420,38.0,31,18,5,101,5,38.3,34.4
Opponent Total,,,26,38,418,3420,38.0,97,75,5,53,2,76.7,71.2
